,word,frequence
0,令狐冲,4995
1,甚么,2274
2,说道,1746
3,自己,1268
4,林平之,1267
5,岳不群,1174
6,一个,1162
7,师父,1089
8,剑法,1069
9,咱们,1061
10,弟子,998
11,盈盈,989
12,一声,896
13,岳灵珊,883
14,不是,880
15,他们,855
16,长剑,800
17,恒山,792
18,出来,722
19,田伯光,699
20,不知,692
21,仪琳,673
22,知道,629
23,林震南,625
24,之中,624
25,心中,620
26,武功,619
27,二人,616
28,突然,605
29,只是,605
30,师妹,596
31,教主,587
32,我们,576
33,倘若,575
34,心想,566
35,如此,563
36,嵩山,559
37,你们,558
38,如何,556
39,便是,550
40,师哥,547
41,华山派,522
42,五岳,521
43,向问天,511
44,任我行,509
45,只见,508
46,见到,506
47,不敢,505
48,这里,491
49,左冷禅,470
50,华山,466
51,有人,461
52,脸上,435
53,众人,431
54,不能,422
55,爹爹,420
56,掌门,418
57,婆婆,412
58,可是,406
59,这些,406
60,兄弟,405
61,原来,403
62,怎么,395
63,这么,390
64,江湖,390
65,余沧海,381
66,起来,375
67,说话,373
68,岳夫人,373
69,当真,372
70,一招,372
71,今日,372
72,正是,370
73,之后,368
74,身子,365
75,一剑,365
76,魔教,365
77,前辈,363
78,声音,358
79,跟着,358
80,问道,353
81,青城派,351
82,辟邪,349
83,不会,348
84,身上,344
85,不过,336
86,师娘,336
87,汉子,335
88,内力,335
89,这个,327
90,自然,325
91,不可,323
92,十分,322
93,登时,317
94,当下,315
95,镖局,314
96,大声,313
97,桃谷六仙,309
98,东方不败,308
99,眼见,304
